pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
PNP,2025-08-20 09:45:00,09:45:00,09:46:00,09:47:00,633.5300,633.7100,0.1800,0.1700,-0.5000,0.5100,726881.0
NNN,2025-08-20 09:48:00,09:48:00,09:49:00,09:50:00,633.7100,633.3200,-0.3900,-0.2400,-0.1300,-0.0200,536545.0
NPN,2025-08-20 09:51:00,09:51:00,09:52:00,09:53:00,633.3200,632.9500,-0.3700,-0.2000,0.0950,-0.2650,576076.0
PNP,2025-08-20 09:54:00,09:54:00,09:55:00,09:56:00,632.9500,633.2100,0.2600,0.1800,-0.0443,0.1243,597922.0
NPP,2025-08-20 09:57:00,09:57:00,09:58:00,09:59:00,633.2100,633.3800,0.1700,-0.1100,0.2350,0.0450,846710.0
PNN,2025-08-20 10:00:00,10:00:00,10:01:00,10:02:00,633.3800,633.4200,0.0400,0.2700,-0.1000,-0.1300,734316.0
PPP,2025-08-20 10:03:00,10:03:00,10:04:00,10:05:00,633.4200,633.9300,0.5100,0.2100,0.0800,0.2200,484146.0
PPP,2025-08-20 10:06:00,10:06:00,10:07:00,10:08:00,633.9300,634.5249,0.5949,0.3200,0.0900,0.1849,746140.0
PNP,2025-08-20 10:09:00,10:09:00,10:10:00,10:11:00,634.5249,634.6700,0.1451,0.1101,-0.1750,0.2100,580433.0
PNP,2025-08-20 10:12:00,10:12:00,10:13:00,10:14:00,634.6700,634.8300,0.1600,0.0500,-0.1800,0.2900,482013.0
PPP,2025-08-20 10:15:00,10:15:00,10:16:00,10:17:00,634.8300,635.3300,0.5000,0.3200,0.1000,0.0800,645335.0
PPP,2025-08-20 10:18:00,10:18:00,10:19:00,10:20:00,635.3300,635.7500,0.4200,0.1700,0.0100,0.2400,684487.0
PPO,2025-08-20 10:21:00,10:21:00,10:22:00,10:23:00,635.7500,636.0200,0.2700,0.0600,0.2100,0.0000,511058.0
PNP,2025-08-20 10:24:00,10:24:00,10:25:00,10:26:00,636.0200,636.2700,0.2500,0.2400,-0.2700,0.2800,764954.0
PPP,2025-08-20 10:27:00,10:27:00,10:28:00,10:29:00,636.2700,636.3500,0.0800,0.0100,0.0200,0.0500,537870.0
